       R (kpc)       Vrot (km/s)     Vrot-sigmaV     Vrot+sigmaV
       2.6957793     209.0373535     208.2838135     209.7908936
       2.6977792     208.6145020     208.3235016     208.9055023
       2.6997793     208.4105682     208.0052795     208.8158569
       2.7017794     207.6944275     206.5737000     208.8151550
       2.7037792     206.0805664     204.2100525     207.9510803
       2.7057791     203.2806396     200.3128967     206.2483826
       2.7077794     200.4244385     198.2408447     202.6080322
       2.7097793     200.1979523     199.3612671     201.0346375
       2.7117791     200.4388580     199.9577026     200.9200134
       2.7137792     199.9327393     199.2881470     200.5773315
       2.7157793     199.6040192     198.8927612     200.3152771
       2.7177792     200.6456909     197.3153687     203.9760132
       2.7197793     205.4513550     199.9846344     210.9180756
       2.7217793     209.4271240     206.8194122     212.0348358
       2.7237792     209.9064026     209.1873016     210.6255035
       2.7257793     209.6577606     209.1513824     210.1641388
       2.7277794     209.2759094     207.3238678     211.2279510
       2.7297792     206.1864624     200.8309479     211.5419769
       2.7317791     200.7142181     196.3405609     205.0878754
       2.7337792     198.9591370     197.6292419     200.2890320
       2.7357793     198.7008209     195.6034851     201.7981567
       2.7397792     167.0437317     153.8287506     180.2587128
       2.7417793     178.4361420     160.5111847     196.3610992
       2.7437792     191.5984039     178.7120514     204.4847565
       2.7457793     185.6843262     170.4936218     200.8750305
       2.7477794     172.4147339     162.0706024     182.7588654
       2.7497792     170.6957855     167.9836273     173.4079437
       2.7517791     171.7165070     170.4647675     172.9682465
       2.7537794     173.2249908     166.7490234     179.7009583
       2.7557793     183.4143982     168.5417633     198.2870331
       2.7577791     196.5828705     186.0693359     207.0964050
       2.7597792     192.9975281     179.4907532     206.5043030
       2.7617793     178.3242493     164.3961182     192.2523804
       2.7637792     180.5623322     164.8632355     196.2614288
       2.7657793     196.4799194     183.4002686     209.5595703
       2.7677794     201.2424164     197.3252106     205.1596222
       2.7697792     199.1345673     196.8924561     201.3766785
       2.7717793     198.0517883     197.2620850     198.8414917
       2.7737794     198.7037506     197.2597198     200.1477814
       2.7757792     200.8097992     198.8597717     202.7598267
       2.7777791     202.4985504     201.4340668     203.5630341
       2.7797792     202.6544342     201.9155579     203.3933105
       2.7817793     201.5663147     199.7892609     203.3433685
       2.7837791     199.9075012     198.5493469     201.2656555
       2.7857792     199.5325012     199.0828705     199.9821320
       2.7877793     199.5798492     198.1612244     200.9984741
       2.7897792     201.1812592     198.3449554     204.0175629
       2.7917793     203.4796906     201.7413788     205.2180023
       2.7937794     204.5182800     203.5699768     205.4665833
       2.7957792     205.3726654     204.6598053     206.0855255
       2.7977791     205.0852814     204.1677399     206.0028229
       2.7997794     204.1271820     203.2622528     204.9921112
       2.8017793     203.7001495     202.6438751     204.7564240
       2.8037791     204.5490570     203.3217468     205.7763672
       2.8057792     204.9012604     204.0070953     205.7954254
       2.8077793     204.3370972     203.4571686     205.2170258
       2.8097792     204.6098480     204.0293427     205.1903534
       2.8117793     204.7282715     204.4631653     204.9933777
       2.8137794     204.5184326     204.3045502     204.7323151
       2.8157792     204.6287231     204.2738342     204.9836121
       2.8177793     205.1868439     204.4210815     205.9526062
       2.8197794     205.1222687     200.1317444     210.1127930
       2.8217793     196.7736664     179.5772095     213.9701233
       2.8237791     176.7863159     158.8132477     194.7593842
       2.8257792     173.5354004     163.2603455     183.8104553
       2.8277793     184.1601257     175.7006378     192.6196136
       2.8297791     188.2072296     184.3073120     192.1071472
       2.8317792     182.8461151     174.0024719     191.6897583
       2.8337793     170.9241028     161.5094757     180.3387299
       2.8357792     164.7450409     160.7753906     168.7146912
       2.8377793     166.9236450     161.1907959     172.6564941
       2.8397794     169.8778534     163.8320770     175.9236298
       2.8417792     169.2453003     163.2492828     175.2413177
       2.8437791     174.6815033     168.6483154     180.7146912
       2.8457794     178.2912750     174.5378723     182.0446777
       2.8477793     175.2264557     167.4308014     183.0221100
       2.8497791     167.7678986     161.5836945     173.9521027
       2.8517792     168.3914642     163.0482788     173.7346497
       2.8537793     175.6837616     168.7149506     182.6525726
       2.8557792     180.8941956     177.7958984     183.9924927
       2.8577793     181.9160004     180.7683868     183.0636139
       2.8597794     182.8359070     179.1645355     186.5072784
       2.8617792     188.3691254     180.7134399     196.0248108
       2.8637793     193.6469269     187.3882751     199.9055786
       2.8657794     190.2409058     183.6222687     196.8595428
       2.8677793     191.8143463     182.8457031     200.7829895
       2.8697791     202.7911987     192.5537872     213.0286102
       2.8717792     208.8063660     205.1388855     212.4738464
       2.8737793     208.9536438     206.6648102     211.2424774
       2.8757792     205.4109650     200.1326599     210.6892700
       2.8777792     200.4509888     196.8459778     204.0559998
       2.8797793     199.1364594     198.3184967     199.9544220
       2.8817792     199.0074158     198.6676025     199.3472290
       2.8837793     199.0151215     197.2238159     200.8064270
       2.8857794     196.1930542     189.7587128     202.6273956
       2.8877792     189.0493317     181.5249481     196.5737152
       2.8897791     191.5871735     181.1354218     202.0389252
       2.8917794     203.1687622     194.0038605     212.3336639
       2.8937793     207.9026642     204.8439636     210.9613647
       2.8957791     206.1528015     199.7908325     212.5147705
       2.8977792     200.9254150     192.2556000     209.5952301
       2.8997793     205.1787109     197.3076782     213.0497437
       2.9017792     209.9712067     206.9514771     212.9909363
       2.9037793     211.1603394     210.3128052     212.0078735
       2.9057794     211.5043182     211.0514221     211.9572144
       2.9077792     211.6539154     211.3954773     211.9123535
       2.9097793     211.7469025     211.3588104     212.1349945
       2.9117794     211.6559296     211.2718048     212.0400543
       2.9137793     211.3708649     210.7054596     212.0362701
       2.9157791     210.5042877     209.6613464     211.3472290
       2.9177792     210.0348053     209.6998901     210.3697205
       2.9197793     210.2495422     209.7332153     210.7658691
       2.9217792     210.9649048     210.1166687     211.8131409
       2.9237792     210.9374695     209.8531036     212.0218353
       2.9257793     209.5090485     208.2012939     210.8168030
       2.9277792     208.4881897     207.8624268     209.1139526
       2.9297793     208.3946075     208.2596283     208.5295868
       2.9317794     208.4303741     207.8064270     209.0543213
       2.9337792     207.5839844     203.5406036     211.6273651
       2.9357791     201.2640228     192.2839813     210.2440643
       2.9377794     193.2058411     187.3983917     199.0132904
       2.9397793     192.7818604     188.7895660     196.7741547
       2.9417791     197.8318634     192.5728912     203.0908356
       2.9437792     200.1968536     195.5597839     204.8339233
       2.9457793     193.7195435     183.7334595     203.7056274
       2.9477792     184.2485046     177.3842163     191.1127930
       2.9497793     181.9339294     180.4142609     183.4535980
       2.9517794     182.2490082     181.4036713     183.0943451
       2.9537792     183.2441559     182.1602173     184.3280945
       2.9557793     183.8867950     183.3808289     184.3927612
       2.9577794     183.7229004     182.9863892     184.4594116
       2.9597793     182.8052216     181.6484833     183.9619598
       2.9617791     182.1469574     181.4271545     182.8667603
       2.9637792     182.4524994     178.6520538     186.2529449
       2.9657793     187.7922058     176.1808472     199.4035645
       2.9677792     196.9934692     186.2088623     207.7780762
       2.9697793     196.8850098     192.5291138     201.2409058
       2.9717793     196.0802917     195.2707062     196.8898773
       2.9737792     196.0905762     195.5202789     196.6608734
       2.9757793     195.4104919     191.2127838     199.6082001
       2.9777794     188.6515350     177.7182770     199.5847931
       2.9797792     178.6337280     169.6158752     187.6515808
       2.9817791     182.3022614     172.7523193     191.8522034
       2.9837794     190.7208252     184.7752075     196.6664429
       2.9857793     192.9653015     191.6827087     194.2478943
       2.9877791     193.6073761     192.8912659     194.3234863
       2.9897792     194.6569061     193.5419006     195.7719116
       2.9917793     196.0725861     194.6728821     197.4722900
       2.9937792     196.2941742     192.6159058     199.9724426
       2.9957793     194.9701996     187.0433502     202.8970490
       2.9977794     201.5135193     193.4922791     209.5347595
       2.9997792     205.6584167     203.2734528     208.0433807
       3.0017793     205.6249542     204.4716949     206.7782135
       3.0037794     204.6066132     203.6844788     205.5287476
       3.0057793     203.8195038     202.7911682     204.8478394
       3.0077791     203.2214355     202.1150513     204.3278198
       3.0097792     202.4864349     201.2272034     203.7456665
       3.0117793     201.7673950     201.0778503     202.4569397
       3.0137792     201.8708496     201.6528625     202.0888367
       3.0157793     202.0646057     201.7521362     202.3770752
       3.0177794     202.6012878     201.6362762     203.5662994
       3.0197792     204.1837311     201.8248291     206.5426331
       3.0217793     206.3619385     204.3806305     208.3432465
       3.0237794     206.0246124     203.0516968     208.9975281
       3.0257792     202.1556244     197.8013916     206.5098572
       3.0277791     199.5567932     197.3049774     201.8086090
       3.0297794     201.1974182     198.5231628     203.8716736
       3.0317793     204.2263031     201.9902191     206.4623871
       3.0337791     206.1080627     204.9248657     207.2912598
       3.0357792     207.1788177     206.1026611     208.2549744
       3.0377793     207.9760437     207.1902466     208.7618408
       3.0397792     207.7005005     206.7813873     208.6196136
       3.0417793     208.0135956     207.0558777     208.9713135
       3.0437794     208.5390167     208.0505371     209.0274963
       3.0457792     208.1975555     207.5266266     208.8684845
       3.0477793     207.6807098     207.2040710     208.1573486
       3.0497794     207.8820038     207.4228516     208.3411560
       3.0517793     208.3779602     207.6984406     209.0574799
       3.0537791     208.6469727     208.0197296     209.2742157
       3.0557792     208.9584198     208.1480103     209.7688293
       3.0577793     209.9423828     209.0752563     210.8095093
       3.0597792     210.3140106     209.7611237     210.8668976
       3.0617793     209.7152100     208.5066681     210.9237518
       3.0637794     208.0469208     206.0590668     210.0347748
       3.0657792     206.8258362     204.6364746     209.0151978
       3.0677793     207.0534058     205.3339844     208.7728271
       3.0697794     205.5066681     202.2048187     208.8085175
       3.0717793     201.8224182     198.8735199     204.7713165
       3.0737791     200.7133331     199.5159912     201.9106750
       3.0757794     200.6916962     199.5714569     201.8119354
       3.0777793     200.3662415     198.1036530     202.6288300
       3.0797791     203.4168549     198.7556458     208.0780640
       3.0817792     206.7201233     203.1510162     210.2892303
       3.0837793     204.0500336     199.9168549     208.1832123
       3.0857792     201.1768646     199.2125854     203.1411438
       3.0877793     200.9025421     200.4728241     201.3322601
       3.0897794     201.4186707     200.7991791     202.0381622
       3.0917792     202.1006012     201.6598969     202.5413055
       3.0937791     202.3493347     202.2300415     202.4686279
       3.0957794     202.4205322     202.3750916     202.4659729
       3.0977793     202.4593048     202.3061371     202.6124725
       3.0997791     202.2398529     201.6651611     202.8145447
       3.1017792     201.5014496     200.5068207     202.4960785
       3.1037793     202.0143585     198.9623871     205.0663300
       3.1057792     206.0040588     201.8135834     210.1945343
       3.1077793     208.8604584     207.1367340     210.5841827
       3.1097794     209.6780701     208.9326630     210.4234772
       3.1117792     210.1628876     209.6878815     210.6378937
       3.1137793     210.0617371     209.8224945     210.3009796
       3.1157794     209.7148132     209.1272888     210.3023376
       3.1177793     208.8675385     207.9054718     209.8296051
       3.1197791     208.4588623     207.7675018     209.1502228
       3.1217794     208.8061981     208.4240417     209.1883545
       3.1237793     208.9480286     208.6420135     209.2540436
       3.1257792     208.4553833     207.7170563     209.1937103
       3.1277792     207.7692413     207.1699066     208.3685760
       3.1297793     207.8524475     207.5490112     208.1558838
       3.1317792     208.0364380     207.7738037     208.2990723
       3.1337793     207.7703705     205.8887024     209.6520386
       3.1357794     204.7393646     199.6236725     209.8550568
       3.1377792     201.0905151     196.1028442     206.0781860
       3.1397791     204.0707092     199.9191437     208.2222748
       3.1417794     206.2163544     204.8501740     207.5825348
       3.1437793     206.1690674     204.6341858     207.7039490
       3.1457791     204.9096832     201.7455139     208.0738525
       3.1477792     205.1962585     202.3790588     208.0134583
       3.1497793     206.6411133     205.3031464     207.9790802
       3.1517792     206.7026062     204.3427429     209.0624695
       3.1537793     203.9602661     200.7499847     207.1705475
       3.1557794     201.2299347     199.2482605     203.2116089
       3.1577792     198.7347565     196.4621582     201.0073547
       3.1597793     196.4184265     194.4616852     198.3751678
       3.1617794     196.1691895     194.9320526     197.4063263
       3.1637793     195.9677582     195.0621948     196.8733215
       3.1657791     195.9257965     195.0968933     196.7546997
       3.1677794     196.6436310     195.7185974     197.5686646
       3.1697793     197.8178558     196.3623657     199.2733459
       3.1717792     199.7437439     197.8426208     201.6448669
       3.1737792     201.1914062     200.2624512     202.1203613
       3.1757793     201.4847870     201.3097534     201.6598206
       3.1777792     201.5644226     201.4942932     201.6345520
       3.1797793     201.6405182     201.4660950     201.8149414
       3.1817794     201.5528259     200.7691193     202.3365326
       3.1837792     201.9408112     200.1661835     203.7154388
       3.1857791     203.4132385     201.9580688     204.8684082
       3.1877794     203.4815369     202.7484283     204.2146454
       3.1897793     202.7424164     201.9607849     203.5240479
       3.1917791     202.4675598     201.6391144     203.2960052
       3.1937792     203.0372162     201.9837952     204.0906372
       3.1957793     203.8865967     202.8756409     204.8975525
       3.1977792     203.7908478     203.1601562     204.4215393
       3.1997793     203.8331451     203.0219116     204.6443787
       3.2017794     203.0427246     201.5332031     204.5522461
       3.2037792     202.2090454     201.1269531     203.2911377
       3.2057793     202.6997375     201.3055573     204.0939178
       3.2077794     201.7877655     198.5285187     205.0470123
       3.2097793     200.5886383     197.4777832     203.6994934
       3.2117791     202.5136719     200.2452240     204.7821198
       3.2137794     203.7792053     202.9597473     204.5986633
       3.2157793     203.5483551     202.9272766     204.1694336
       3.2177792     203.0168915     202.3547668     203.6790161
       3.2197793     203.6982422     201.9669647     205.4295197
       3.2217793     205.8481598     203.9696655     207.7266541
       3.2237792     207.0859375     206.3860474     207.7858276
       3.2257793     207.2724762     207.0235596     207.5213928
       3.2277794     207.0885773     206.9016571     207.2754974
       3.2297792     206.8919830     206.5976562     207.1863098
       3.2317791     206.9188843     205.9016418     207.9361267
       3.2337794     208.4389191     206.3280640     210.5497742
       3.2357793     210.4742126     207.7528687     213.1955566
       3.2377791     212.6376038     209.9204407     215.3547668
       3.2397792     212.5322266     210.8373871     214.2270660
       3.2417793     211.0007629     209.7619476     212.2395782
       3.2437792     209.7063141     208.4003448     211.0122833
       3.2457793     208.0684967     206.1545258     209.9824677
       3.2477794     206.3471375     204.3220215     208.3722534
       3.2497792     206.1876526     204.6543274     207.7209778
       3.2517793     207.4067230     206.3602448     208.4532013
       3.2537794     208.6856384     206.9730835     210.3981934
       3.2557793     211.3939362     209.0377655     213.7501068
       3.2577791     213.2158051     211.9198914     214.5117188
       3.2597792     213.5077820     212.7326965     214.2828674
       3.2617793     213.5624847     213.1331177     213.9918518
       3.2637792     213.6660767     213.3244476     214.0077057
       3.2657793     213.6288910     212.5887299     214.6690521
       3.2677794     212.0646973     209.9053650     214.2240295
       3.2697792     210.2921906     208.8412170     211.7431641
       3.2717793     210.2067719     209.2317505     211.1817932
       3.2737794     210.1084137     208.6489868     211.5678406
       3.2757792     209.7853699     208.1301727     211.4405670
       3.2777791     209.4214172     207.7592163     211.0836182
       3.2797794     207.6466675     204.6638489     210.6294861
       3.2817793     208.3356628     201.8745422     214.7967834
       3.2837791     216.3974609     208.8079834     223.9869385
       3.2857792     221.6511993     218.7325439     224.5698547
       3.2877793     222.6815796     221.8770142     223.4861450
       3.2897792     222.0868988     220.8131561     223.3606415
       3.2917793     220.8723907     218.7868195     222.9579620
       3.2937794     219.8389893     218.2573395     221.4206390
       3.2957792     219.3102570     218.4919434     220.1285706
       3.2977793     219.8899384     218.4624023     221.3174744
       3.2997794     221.1068726     219.9577942     222.2559509
       3.3017793     220.5077362     219.0820465     221.9334259
       3.3037791     219.0972900     217.5811768     220.6134033
       3.3057792     217.8475800     216.5923157     219.1028442
       3.3077793     216.9481354     215.4605713     218.4356995
       3.3097792     218.0427246     215.5757599     220.5096893
       3.3117793     219.6708679     218.1188507     221.2228851
       3.3137794     219.2844543     217.9533539     220.6155548
       3.3157792     219.5766449     218.2970428     220.8562469
       3.3177793     220.7869263     219.5083618     222.0654907
       3.3197794     222.3823853     220.9644470     223.8003235
       3.3217793     222.2396088     218.7290192     225.7501984
       3.3237791     216.4750366     209.4371185     223.5129547
       3.3257794     210.0237885     205.7825012     214.2650757
       3.3277793     208.4840393     207.4964600     209.4716187
       3.3297791     207.9924469     207.1688232     208.8160706
       3.3317792     208.4829102     207.3552704     209.6105499
       3.3337793     209.2984161     208.5759888     210.0208435
       3.3357792     208.9110870     208.1831360     209.6390381
       3.3377793     208.3369293     207.9237823     208.7500763
       3.3397794     208.0991058     207.6922302     208.5059814
       3.3417792     208.3593903     207.5265961     209.1921844
       3.3437793     208.9477692     208.1215668     209.7739716
       3.3457794     209.4212189     208.3251801     210.5172577
       3.3477793     210.0880127     209.2059174     210.9701080
       3.3497791     209.7658691     208.9646759     210.5670624
       3.3517792     210.4769440     208.1266174     212.8272705
       3.3537793     213.7182312     210.2355957     217.2008667
       3.3557792     216.0342560     214.3929443     217.6755676
       3.3577793     215.4365692     213.7474518     217.1256866
       3.3597794     213.6742096     212.2253723     215.1230469
       3.3617792     212.9013214     212.1512451     213.6513977
       3.3637793     212.4252472     211.4067383     213.4437561
       3.3657794     211.7004242     210.8150024     212.5858459
       3.3677793     211.2395782     209.8771820     212.6019745
       3.3697791     209.4128265     206.7750397     212.0506134
       3.3717794     207.5041046     205.9804077     209.0278015
       3.3737793     207.3749847     206.9803467     207.7696228
       3.3757792     207.7447662     206.9849243     208.5046082
       3.3777792     208.7892914     207.7142487     209.8643341
       3.3797793     209.1330719     208.0941315     210.1720123
       3.3817792     207.9233093     206.6208801     209.2257385
       3.3837793     207.1109924     206.5975647     207.6244202
       3.3857794     206.9050751     206.6448517     207.1652985
       3.3877792     206.7016602     206.3422089     207.0611115
       3.3897793     207.0634308     206.3338470     207.7930145
       3.3917792     207.4628601     206.6785278     208.2471924
       3.3937793     207.5013275     206.7222290     208.2804260
       3.3957794     208.1912537     207.5251923     208.8573151
       3.3977792     208.7074432     208.3527527     209.0621338
       3.3997793     209.1171265     208.6677246     209.5665283
       3.4017792     209.1826324     208.3927917     209.9724731
       3.4037793     208.1123962     206.8473816     209.3774109
       3.4057794     207.1114349     206.2975159     207.9253540
       3.4077792     206.4196167     205.7430725     207.0961609
       3.4097793     206.2571411     205.4482727     207.0660095
       3.4117792     207.3453979     206.1370087     208.5537872
       3.4137793     208.0729065     207.2544708     208.8913422
       3.4157794     207.6384583     206.6716614     208.6052551
       3.4177792     207.8394928     206.3914490     209.2875366
       3.4197793     209.6400146     207.9201355     211.3598938
       3.4217794     211.1771088     209.7422180     212.6119995
       3.4237792     213.3959656     210.7183685     216.0735626
       3.4257793     216.9416199     213.7989655     220.0842743
       3.4277792     218.2788086     215.9172516     220.6403656
       3.4297793     215.7263794     212.8703918     218.5823669
       3.4317794     214.0787354     212.7350616     215.4224091
       3.4337792     215.0138702     213.3473511     216.6803894
       3.4357793     215.5185699     213.6605377     217.3766022
       3.4377792     213.2880096     210.8721619     215.7038574
       3.4397793     211.3535767     209.8273468     212.8798065
       3.4417794     211.3551788     210.8200226     211.8903351
       3.4437792     211.5167389     211.3984833     211.6349945
       3.4457793     211.5219574     211.4587708     211.5851440
       3.4477792     211.5496521     211.4964752     211.6028290
       3.4497793     211.5422211     211.3943481     211.6900940
       3.4517794     211.3390503     211.0906982     211.5874023
       3.4537792     211.2383881     210.8868713     211.5899048
       3.4557793     211.6435699     210.8281097     212.4590302
       3.4577792     211.7777710     210.9512939     212.6042480
       3.4597793     211.4092255     211.0120697     211.8063812
       3.4617794     211.4436798     211.1789246     211.7084351
       3.4637792     211.8058472     211.4568176     212.1548767
       3.4657793     212.0815277     211.8703308     212.2927246
       3.4677794     212.3572845     211.5518494     213.1627197
       3.4697793     213.5897217     212.0862579     215.0931854
       3.4717793     214.8630829     213.9751587     215.7510071
       3.4737792     214.6955872     212.9626312     216.4285431
       3.4757793     214.4965210     209.1108856     219.8821564
       3.4777794     219.1570587     210.7077637     227.6063538
       3.4797792     217.4441681     209.2807007     225.6076355
       3.4817793     212.7815399     208.9859314     216.5771484
       3.4837792     212.8542938     211.7554474     213.9531403
       3.4857793     213.1755219     212.6923065     213.6587372
       3.4877794     213.0027466     212.5241089     213.4813843
       3.4897792     212.5444794     211.9490814     213.1398773
       3.4917793     212.9914398     212.0399780     213.9429016
       3.4937792     213.4755402     212.6741638     214.2769165
       3.4957793     213.7515411     212.5245667     214.9785156
       3.4977794     215.1349945     213.8941345     216.3758545
       3.4997792     215.8263702     215.3628540     216.2898865
       3.5017793     216.1759491     215.6165161     216.7353821
       3.5037792     216.8542480     216.2402344     217.4682617
       3.5057793     216.7237854     215.1184540     218.3291168
       3.5077794     214.7280731     212.6510925     216.8050537
       3.5097792     214.1060028     212.9794006     215.2326050
       3.5117793     213.1988068     211.7961121     214.6015015
       3.5137794     212.4590149     211.6410828     213.2769470
       3.5157793     212.5468903     211.6591187     213.4346619
       3.5177794     213.4587097     212.0607605     214.8566589
       3.5197792     215.0451050     213.7092896     216.3809204
       3.5217793     216.2383423     215.4658356     217.0108490
       3.5237794     216.6267395     216.3441772     216.9093018
       3.5257792     216.8358917     216.4074707     217.2643127
       3.5277793     216.6139374     215.9329834     217.2948914
       3.5297792     216.5155487     216.0781403     216.9529572
       3.5317793     216.6197205     216.4918823     216.7475586
       3.5337794     216.6185760     216.4407501     216.7964020
       3.5357792     216.3902130     216.0998688     216.6805573
       3.5377793     216.2949677     216.0167542     216.5731812
       3.5397792     216.7018585     216.2348328     217.1688843
       3.5417793     217.2721863     216.8148651     217.7295074
       3.5437794     217.3190765     216.0803223     218.5578308
       3.5457792     216.1674042     213.7907104     218.5440979
       3.5477793     216.3259583     214.2857666     218.3661499
       3.5497792     217.1897888     216.4354248     217.9441528
       3.5517793     217.3472595     217.2364349     217.4580841
       3.5537794     217.3226318     216.8331757     217.8120880
       3.5557792     216.5471191     213.9843750     219.1098633
       3.5577793     212.9785461     208.6459656     217.3111267
       3.5597794     209.9182587     207.5100708     212.3264465
       3.5617793     207.9593201     205.9228210     209.9958191
       3.5637794     205.9009094     204.5366058     207.2652130
       3.5657792     205.3676453     205.0203552     205.7149353
       3.5677793     205.4850311     205.1252441     205.8448181
       3.5697794     206.1712036     205.1213379     207.2210693
       3.5717793     207.4525757     206.4913025     208.4138489
       3.5737793     208.0164490     207.6712494     208.3616486
       3.5757792     207.9605103     207.3084869     208.6125336
       3.5777793     207.3040771     206.1410675     208.4670868
       3.5797794     208.1616211     204.2436371     212.0796051
       3.5817792     213.4405060     207.8843536     218.9966583
       3.5837793     217.5550385     214.9819489     220.1281281
       3.5857792     218.9208221     217.7792206     220.0624237
       3.5877793     219.0795898     218.5044403     219.6547394
       3.5897794     219.3662262     218.9862213     219.7462311
       3.5917792     219.5993195     219.3857422     219.8128967
       3.5937793     219.4305115     219.1738434     219.6871796
       3.5957792     219.2189331     218.7784119     219.6594543
       3.5977793     218.5371246     216.9756927     220.0985565
       3.5997794     216.7742462     214.8988037     218.6496887
       3.6017792     217.1824036     214.7664795     219.5983276
       3.6037793     218.4318542     214.9319458     221.9317627
       3.6057792     216.8844299     213.0135040     220.7553558
       3.6077793     216.8300018     215.0049896     218.6550140
       3.6097794     217.0697327     216.7081604     217.4313049
       3.6117792     217.2615356     216.8561096     217.6669617
       3.6137793     217.0741272     215.2683563     218.8798981
       3.6157794     214.4966125     211.1711273     217.8220978
       3.6177793     212.0175018     210.1811371     213.8538666
       3.6197793     210.9303284     208.2154083     213.6452484
       3.6217792     207.3998108     203.5582581     211.2413635
       3.6237793     205.8051453     203.2872925     208.3229980
       3.6257794     208.5218201     205.4340820     211.6095581
       3.6277792     210.5669250     209.2197723     211.9140778
       3.6297793     210.7931213     210.4179077     211.1683350
       3.6317792     211.0803528     210.7973785     211.3633270
       3.6337793     211.0535278     210.6683044     211.4387512
       3.6357794     210.5203857     210.0279236     211.0128479
       3.6377792     210.3173065     209.8300171     210.8045959
       3.6397793     211.0983429     210.0466614     212.1500244
       3.6417792     212.3739929     211.4624634     213.2855225
       3.6437793     212.9263611     212.4868622     213.3658600
       3.6457794     212.8174744     212.0660706     213.5688782
       3.6477792     212.6041107     211.7376404     213.4705811
       3.6497793     212.1654358     211.4607849     212.8700867
       3.6517792     212.0016632     211.2958679     212.7074585
       3.6537793     211.8541260     210.7276611     212.9805908
       3.6557794     211.6373749     210.4089050     212.8658447
       3.6577792     211.8888550     210.4238739     213.3538361
       3.6597793     210.7074432     209.4274445     211.9874420
       3.6617794     210.1826324     209.8163147     210.5489502
       3.6637793     210.3049774     210.0727844     210.5371704
       3.6657794     210.6177216     210.3549957     210.8804474
       3.6677792     210.8079529     210.5783844     211.0375214
       3.6697793     210.5926361     209.5903625     211.5949097
       3.6717794     209.2106323     207.5967102     210.8245544
       3.6737792     208.3446350     207.3194885     209.3697815
       3.6757793     209.3205109     208.1141663     210.5268555
       3.6777792     209.8646698     208.6236115     211.1057281
       3.6797793     209.1907501     207.6691895     210.7123108
       3.6817794     209.0880280     207.4373932     210.7386627
       3.6837792     210.6873627     206.5804749     214.7942505
       3.6857793     215.2973022     211.3370056     219.2575989
       3.6877792     217.2766266     216.0867310     218.4665222
       3.6897793     217.8405762     217.0611725     218.6199799
       3.6917794     218.4862366     217.2241974     219.7482758
       3.6937792     217.1696472     212.4608002     221.8784943
       3.6957793     210.4361725     203.5226746     217.3496704
       3.6977792     205.0435486     201.4647980     208.6222992
       3.6997793     204.2127991     200.8612366     207.5643616
       3.7017794     208.3764801     201.8967590     214.8562012
       3.7037792     212.1497650     206.7147217     217.5848083
       3.7057793     209.0770874     204.5693665     213.5848083
       3.7077794     208.4964752     206.7115936     210.2813568
       3.7097793     209.1723022     208.6180267     209.7265778
       3.7117794     209.7646942     209.2005463     210.3288422
       3.7137792     210.6959991     209.5180054     211.8739929
       3.7157793     212.5634003     210.3786926     214.7481079
       3.7177794     214.6562653     213.1205292     216.1920013
       3.7197793     215.4941864     214.7428284     216.2455444
       3.7217793     215.4570007     214.5607605     216.3532410
       3.7237792     214.7544403     214.1493683     215.3595123
       3.7257793     214.3935242     213.9665222     214.8205261
       3.7277794     213.7512665     212.8718109     214.6307220
       3.7297792     212.8704987     211.2619171     214.4790802
       3.7317793     212.0485229     210.4410400     213.6560059
       3.7337792     212.7455902     210.6042786     214.8869019
       3.7357793     214.7447205     213.1408997     216.3485413
       3.7377794     215.3814850     214.7588959     216.0040741
       3.7397792     215.8611908     215.1613007     216.5610809
       3.7417793     215.4052734     214.0911713     216.7193756
       3.7437792     213.5057678     211.8406372     215.1708984
       3.7457793     212.0588531     211.0522614     213.0654449
       3.7477794     212.0219421     211.5277710     212.5161133
       3.7497792     211.9791718     211.4762878     212.4820557
       3.7517793     211.9735413     211.5485840     212.3984985
       3.7537794     212.2455292     211.9687347     212.5223236
       3.7557793     212.4947357     211.9532623     213.0362091
       3.7577794     213.2623901     211.9597473     214.5650330
       3.7597792     214.8137817     212.6836853     216.9438782
       3.7617793     216.7254944     215.2014771     218.2495117
       3.7637794     217.6402435     217.0895081     218.1909790
       3.7657793     217.8701477     216.9126740     218.8276215
       3.7677794     216.5407562     214.2637634     218.8177490
       3.7697792     215.3419495     212.2762604     218.4076385
       3.7717793     218.5773621     214.5039825     222.6507416
       3.7737794     221.2953491     219.5002289     223.0904694
       3.7757792     222.0108490     221.1478271     222.8738708
       3.7777793     221.5567474     220.4540558     222.6594391
       3.7797792     221.5873718     220.6987152     222.4760284
       3.7817793     221.8624878     221.3705139     222.3544617
       3.7837794     221.6571350     220.9440155     222.3702545
       3.7857792     221.6856842     220.8654022     222.5059662
       3.7877793     221.3591156     220.6340027     222.0842285
       3.7897792     220.7479095     219.1382904     222.3575287
       3.7917793     218.5246277     215.3069611     221.7422943
       3.7937794     216.1532898     213.7836304     218.5229492
       3.7957792     215.3406219     214.3511353     216.3301086
       3.7977793     215.0745392     213.5890503     216.5600281
       3.7997794     216.7063293     213.9901581     219.4225006
       3.8017793     219.4405060     217.4236450     221.4573669
       3.8037794     220.1529999     218.7329254     221.5730743
       3.8057792     218.6427765     216.4516907     220.8338623
       3.8077793     218.6919556     216.3377838     221.0461273
       3.8097794     220.3198395     218.8884888     221.7511902
       3.8117793     220.4742584     219.5960388     221.3524780
