       Radius (kpc)   Tb (K)          Tb-sigma T       Tb+sigma T
       2.4641852      -0.3707756      -5.5024185       4.7608671
       2.4691851      -0.2514371      -6.1692696       5.6663952
       2.4741850       0.0035633      -6.7157536       6.7228804
       2.4791851      -0.6441647      -8.2192612       6.9309316
       2.4841852      -2.4349284     -10.1136417       5.2437849
       2.4891853      -3.7383718     -10.5911350       3.1143918
       2.4941852      -3.5016191      -9.8283520       2.8251140
       2.4991851      -2.4870424      -8.8916454       3.9175601
       2.5041852      -1.2387587      -7.9264903       5.4489732
       2.5091853       0.4481981      -6.1884141       7.0848098
       2.5141852       2.1408696      -3.8416071       8.1233463
       2.5191851       3.4481897      -2.0384851       8.9348640
       2.5241852       4.5495977      -1.0536985      10.1528940
       2.5291853       5.0057578      -0.9280534      10.9395695
       2.5341852       4.1670356      -2.0399375      10.3740082
       2.5391850       2.4523973      -3.7449827       8.6497774
       2.5441852       0.9365792      -5.1434503       7.0166087
       2.5491853       0.1759545      -5.9022741       6.2541828
       2.5541852       0.1776816      -5.8294330       6.1847959
       2.5591850       0.8911244      -4.7886505       6.5708990
       2.5641851       1.8948572      -3.1006043       6.8903189
       2.5691853       2.4110053      -1.8672826       6.6892929
       2.5741851       2.2125974      -1.8581963       6.2833910
       2.5791850       1.5805539      -2.7685461       5.9296541
       2.5841851       0.6973873      -3.9518547       5.3466291
       2.5891852      -0.0522670      -4.5621886       4.4576545
       2.5941851      -0.0889159      -4.0615487       3.8837168
       2.5991850       0.4277074      -2.7786787       3.6340935
       2.6041851       0.8745151      -1.4875889       3.2366190
       2.6091852       1.1557568      -0.6327890       2.9443026
       2.6141853       1.3682408      -0.2225695       2.9590511
       2.6191852       1.3386148      -0.2567210       2.9339507
       2.6241851       1.0840812      -0.5791906       2.7473531
       2.6291852       0.9716355      -0.8415535       2.7848246
       2.6341853       1.0918646      -0.9950933       3.1788225
       2.6391852       1.0990989      -1.2668173       3.4650152
       2.6441851       0.8329282      -1.6766770       3.3425333
       2.6491852       0.5024319      -2.0164046       3.0212684
       2.6541853       0.3442825      -2.2535896       2.9421544
       2.6591852       0.4696181      -2.2488322       3.1880684
       2.6641850       0.6855380      -1.9489281       3.3200042
       2.6691852       0.7254114      -1.6314163       3.0822392
       2.6741853       0.6676431      -1.4288781       2.7641642
       2.6791852       0.6420012      -1.3579483       2.6419506
       2.6841850       0.6689209      -1.4192127       2.7570543
       2.6891851       0.8221419      -1.4266057       3.0708895
       2.6941853       1.0355419      -1.2484871       3.3195710
       2.6991851       1.0002416      -1.2180125       3.2184958
       2.7041850       0.6284856      -1.5947220       2.8516934
       2.7091851       0.3886469      -1.9155774       2.6928711
       2.7141852       0.6507889      -1.7412957       3.0428734
       2.7191851       1.0377783      -1.2618378       3.3373942
       2.7241850       1.0882007      -0.9591328       3.1355343
       2.7291851       0.8920928      -0.7546434       2.5388288
       2.7341852       0.7059064      -0.4590865       1.8708993
       2.7391853       0.5860754      -0.2732012       1.4453520
       2.7441852       0.5342051      -0.4432132       1.5116234
       2.7491851       0.6895233      -0.7096928       2.0887394
       2.7541852       1.1387756      -0.6932441       2.9707952
       2.7591853       1.6899800      -0.4150343       3.7949944
       2.7641852       2.0419240      -0.1827624       4.2666101
       2.7691851       2.0046809      -0.1931043       4.2024660
       2.7741852       1.6890785      -0.2778271       3.6559839
       2.7791853       1.4793593      -0.1660401       3.1247587
       2.7841852       1.5664614       0.0312452       3.1016777
       2.7891850       1.7858626       0.1547996       3.4169254
       2.7941852       1.8986573       0.1677855       3.6295290
       2.7991853       1.7779145       0.0553353       3.5004938
       2.8041852       1.4415379      -0.1538689       3.0369446
       2.8091850       0.9997937      -0.4073737       2.4069612
       2.8141851       0.5626237      -0.6483080       1.7735553
       2.8191853       0.1928009      -0.8206128       1.2062145
       2.8241851      -0.0704716      -0.9007131       0.7597700
       2.8291850      -0.1806456      -0.9182125       0.5569212
       2.8341851      -0.1125735      -0.9181806       0.6930338
       2.8391852       0.1254310      -0.8353178       1.0861797
       2.8441851       0.4703792      -0.5748915       1.5156498
       2.8491850       0.7470928      -0.2945822       1.7887678
       2.8541851       0.8098384      -0.3249228       1.9445996
       2.8591852       0.7272970      -0.5890794       2.0436735
       2.8641853       0.6529145      -0.7734972       2.0793262
       2.8691852       0.6519486      -0.7748700       2.0787673
       2.8741851       0.7801762      -0.5848113       2.1451635
       2.8791852       1.0592488      -0.1911356       2.3096333
       2.8841853       1.3462763       0.2717638       2.4207888
       2.8891852       1.4799894       0.5141850       2.4457939
       2.8941851       1.4406812       0.3951766       2.4861858
       2.8991852       1.2884407       0.0465406       2.5303407
       2.9041853       1.1596823      -0.2872206       2.6065850
       2.9091852       1.2029258      -0.4145132       2.8203650
       2.9141850       1.3028667      -0.3968652       3.0025988
       2.9191852       1.2242790      -0.4651610       2.9137192
       2.9241853       1.0407510      -0.5681785       2.6496806
       2.9291852       0.9677361      -0.5397760       2.4752483
       2.9341850       0.9698251      -0.4122255       2.3518758
       2.9391851       0.9394591      -0.2827037       2.1616220
       2.9441853       0.8885798      -0.2289941       2.0061538
       2.9491851       0.8301399      -0.2895401       1.9498200
       2.9541850       0.7974581      -0.3806692       1.9755853
       2.9591851       0.7995771      -0.4560842       2.0552382
       2.9641852       0.7132330      -0.5963281       2.0227942
       2.9691851       0.4705957      -0.8165153       1.7577068
       2.9741850       0.2816237      -0.9715249       1.5347722
       2.9791851       0.4114303      -0.9805087       1.8033694
       2.9841852       0.7895808      -0.7994677       2.3786292
       2.9891851       1.1366007      -0.5608908       2.8340921
       2.9941852       1.3670630      -0.3239383       3.0580645
       2.9991851       1.5698026      -0.0119990       3.1516042
       3.0041852       1.7535048       0.2625971       3.2444124
       3.0091853       1.8106762       0.2904400       3.3309126
       3.0141852       1.7497485       0.1321654       3.3673315
       3.0191851       1.7848785       0.0436425       3.5261145
       3.0241852       2.0747383       0.1486306       4.0008459
       3.0291853       2.6395683       0.4721882       4.8069487
       3.0341852       3.3921363       1.0376205       5.7466521
       3.0391850       4.0800910       1.6299372       6.5302448
       3.0441852       4.4293556       1.8446279       7.0140834
       3.0491853       4.2478652       1.4713612       7.0243692
       3.0541852       3.5167732       0.6339700       6.3995762
       3.0591850       2.5362129      -0.1940808       5.2665067
       3.0641851       1.7596612      -0.5321453       4.0514679
       3.0691853       1.4654084      -0.3373756       3.2681925
       3.0741851       1.5999616       0.0225701       3.1773531
       3.0791850       1.8789774       0.2988721       3.4590826
       3.0841851       2.0602734       0.4436052       3.6769416
       3.0891852       2.1407170       0.4871591       3.7942748
       3.0941851       2.2815354       0.5616633       4.0014076
       3.0991850       2.5217805       0.7636241       4.2799368
       3.1041851       2.6544614       0.9218651       4.3870578
       3.1091852       2.4580212       0.7041097       4.2119327
       3.1141851       1.9618549       0.1715995       3.7521105
       3.1191852       1.4620633      -0.2406046       3.1647313
       3.1241851       1.2515997      -0.3146327       2.8178320
       3.1291852       1.3275216      -0.1376448       2.7926879
       3.1341853       1.4768021       0.1042522       2.8493519
       3.1391852       1.5699910       0.2184370       2.9215450
       3.1441851       1.5790408       0.1667196       2.9913621
       3.1491852       1.4520851       0.0059220       2.8982482
       3.1541853       1.2202139      -0.1721547       2.6125824
       3.1591852       1.0704577      -0.2404389       2.3813543
       3.1641850       1.1396372      -0.2757555       2.5550299
       3.1691852       1.4556974      -0.5256978       3.4370928
       3.1741853       2.1139040      -0.9340839       5.1618919
       3.1791852       3.1598513      -1.0416214       7.3613243
       3.1841850       4.1998305      -0.6942225       9.0938835
       3.1891851       4.4610357      -0.5291910       9.4512625
       3.1941853       3.7276030      -0.8399386       8.2951450
       3.1991851       2.8824723      -0.8321481       6.5970926
       3.2041850       2.7272375      -0.2894666       5.7439413
       3.2091851       3.0482221       0.3192074       5.7772369
       3.2141852       3.3602304       0.6848910       6.0355701
       3.2191851       3.5997329       0.8551724       6.3442936
       3.2241850       3.8445275       1.1002049       6.5888500
       3.2291851       4.0570068       1.4164038       6.6976099
       3.2341852       4.2525120       1.6577265       6.8472977
       3.2391851       4.5651679       1.9419894       7.1883464
       3.2441850       5.0228324       2.4183750       7.6272898
       3.2491851       5.3880639       2.7507763       8.0253515
       3.2541852       5.3509407       2.4504817       8.2514000
       3.2591853       4.7790656       1.6171522       7.9409790
       3.2641852       3.8519301       0.7970994       6.9067612
       3.2691851       3.0740945       0.3703153       5.7778740
       3.2741852       2.8703294      -0.0170531       5.7577119
       3.2791853       3.1605673      -0.5222712       6.8434057
       3.2841852       3.5666151      -0.7818542       7.9150844
       3.2891850       3.9242973      -0.5229197       8.3715143
       3.2941852       4.3353763       0.3441498       8.3266029
       3.2991853       4.7263594       1.4033995       8.0493193
       3.3041852       4.7227483       1.8430586       7.6024380
       3.3091850       4.1502347       1.4017282       6.8987412
       3.3141851       3.3625844       0.6849899       6.0401788
       3.3191853       2.9020541       0.0515308       5.7525773
       3.3241851       3.0535784      -0.4350021       6.5421591
       3.3291850       3.6916778      -0.4914687       7.8748245
       3.3341851       4.3821912      -0.1038022       8.8681850
       3.3391852       4.7772121       0.4424129       9.1120110
       3.3441851       4.8724432       0.9406519       8.8042345
       3.3491850       4.6944914       1.1390874       8.2498951
       3.3541851       4.1804991       0.8406217       7.5203762
       3.3591852       3.5801919       0.3439989       6.8163848
       3.3641851       3.3563662       0.0331624       6.6795702
       3.3691850       3.5685771       0.0656538       7.0715003
       3.3741851       3.7853487       0.3307548       7.2399426
       3.3791852       3.6604755       0.5257638       6.7951870
       3.3841853       3.2561145       0.5209653       5.9912634
       3.3891852       2.7404072       0.2410185       5.2397957
       3.3941851       2.1937184      -0.2609239       4.6483607
       3.3991852       1.7770501      -0.6257526       4.1798530
       3.4041851       1.6517124      -0.5825722       3.8859971
       3.4091852       1.7410657      -0.2339398       3.7160711
       3.4141850       1.9298245       0.1019114       3.7577376
       3.4191852       2.3036392       0.2791877       4.3280907
       3.4241850       2.8759005       0.5062916       5.2455091
       3.4291852       3.2605658       0.6878552       5.8332763
       3.4341850       3.0454779       0.4490206       5.6419353
       3.4391851       2.4854400       0.1350510       4.8358288
       3.4441853       2.2299783       0.2538548       4.2061019
       3.4491851       2.4534338       0.7038589       4.2030087
       3.4541852       2.8535533       1.0784887       4.6286178
       3.4591851       3.2597783       1.0967610       5.4227953
       3.4641852       3.6758199       1.0375795       6.3140602
       3.4691851       3.9093325       1.0221190       6.7965460
       3.4741852       3.7680840       0.9009664       6.6352015
       3.4791851       3.4605389       0.7990637       6.1220140
       3.4841852       3.3042414       0.8466136       5.7618694
       3.4891851       3.3256350       0.9343307       5.7169390
       3.4941852       3.3762496       0.9020097       5.8504896
       3.4991851       3.4398015       0.7394710       6.1401320
       3.5041852       3.6032443       0.6626823       6.5438061
       3.5091851       3.8292115       0.8152862       6.8431368
       3.5141852       4.1799507       1.0974953       7.2624063
       3.5191851       4.9370370       1.4622037       8.4118700
       3.5241852       6.0911894       2.1412835      10.0410957
       3.5291851       7.1261444       2.9601545      11.2921343
       3.5341852       7.4440675       3.1923928      11.6957417
       3.5391850       6.7238126       2.3364043      11.1112213
       3.5441852       5.1048903       0.7515869       9.4581938
       3.5491850       3.3070490      -0.5511968       7.1652946
       3.5541852       2.2253277      -1.1017346       5.5523901
       3.5591850       2.0829482      -1.2847490       5.4506454
       3.5641851       2.3241894      -1.2984660       5.9468451
       3.5691853       2.6738684      -1.2646766       6.6124134
       3.5741851       3.4634869      -0.9366124       7.8635864
       3.5791852       4.5878234      -0.0194845       9.1951313
       3.5841851       5.3191514       0.9633260       9.6749763
       3.5891852       5.2293143       1.2868960       9.1717329
       3.5941851       4.4968171       0.9057536       8.0878811
       3.5991852       3.4786761       0.1725914       6.7847605
       3.6041851       2.4538987      -0.4804361       5.3882332
       3.6091852       1.6425548      -0.7302017       4.0153112
       3.6141851       1.1635981      -0.6361539       2.9633501
       3.6191852       0.9870738      -0.6165093       2.5906568
       3.6241851       1.1392853      -0.8996992       3.1782699
       3.6291852       1.7910004      -1.1129005       4.6949015
       3.6341851       2.8906858      -0.8502686       6.6316404
       3.6391852       3.9450326      -0.2843380       8.1744032
       3.6441851       4.2717552      -0.1397982       8.6833086
       3.6491852       3.6035335      -0.7401650       7.9472322
       3.6541851       2.4303534      -1.4031482       6.2638550
       3.6591852       1.4951755      -1.5452405       4.5355916
       3.6641850       1.2363350      -1.3586669       3.8313370
       3.6691852       1.6187167      -1.0846894       4.3221226
       3.6741850       2.1598418      -0.6667116       4.9863949
