Name,OName,RAh,RAm,RAs,DE,DEd,DEm,DEs,plx,e_plx,pmX,e_pmX,pmY,e_pmY,VLSR,e_VLSR,Arm,Ref,ra,dec,ded
G240.31+00.07,,7,44,51.9676,-,24,7,41.372,0.187,0.014,-1.55,0.5,2.57,0.3,68,5,Per,"28,73      ",116.21653167406716,-24.128158889346658,-24
G049.48-00.38,"W51M           ",19,23,43.87,+,14,30,29.5,0.185,0.01,-2.64,0.2,-5.11,0.2,58,4,SgN,"17         ",290.9327916622162,14.508194444444445,14
G048.99-00.29,,19,22,26.1348,+,14,6,39.133,0.178,0.017,-2.2,0.48,-5.84,0.63,67,10,SgF,"69         ",290.608894999822,14.110870277616712,14
G024.85+00.08,,18,36,18.3867,-,7,8,50.834,0.176,0.016,-2.42,0.19,-5.23,0.26,111,5,Nor,"53         ",279.07661124865217,-7.1474538887871635,-7
G135.27+02.79,,2,43,28.568,+,62,57,8.388,0.167,0.011,-1.22,0.3,0.46,0.36,-72,3,Out,"36         ",40.869033336639404,62.952329999870734,62
G043.79-00.12,"OH43.8-0.1     ",19,11,53.9868,+,9,35,50.325,0.166,0.01,-3.02,0.36,-6.2,0.36,44,10,SgF,"2          ",287.97494500478103,9.597312500211927,9
G052.10+01.04,,19,23,37.3212,+,17,29,10.437,0.165,0.013,-2.77,1.4,-5.85,1.4,42,40,SgF,"18,55      ",290.90550500551865,17.486232500076294,17
G217.79+01.05,"V838Mon        ",7,4,4.8217,-,3,50,50.636,0.163,0.016,-0.54,0.23,0.08,0.17,49,5,Out,"48         ",106.02009041706721,-3.8473988893296984,-3
G029.98+00.10,,18,45,39.9622,-,2,34,32.581,0.156,0.01,-0.94,0.32,-3.49,0.32,109,10,ScF,"52         ",281.4165091673533,-2.575716944800483,-2
G043.89-00.78,,19,14,26.3906,+,9,22,36.568,0.134,0.013,-3.11,0.15,-5.35,0.21,52,3,SgF,"2,55       ",288.6099608341853,9.37682444466485,9
G045.07+00.13,,19,13,22.0427,+,10,50,53.336,0.129,0.007,-3.21,0.26,-6.11,0.26,59,5,SgF,"2          ",288.34184458255766,10.848148888481989,10
G000.67-00.03,"SgrB2          ",17,47,20.0,-,28,22,40.0,0.129,0.012,-0.78,0.4,-4.26,0.4,62,5,"GC ","3          ",266.8333333333333,-28.377777777777776,-28
G010.47+00.02,,18,8,38.229,-,19,51,50.262,0.117,0.008,-3.86,0.19,-6.4,0.14,69,5,Con,"7          ",272.1592875003815,-19.86396166695489,-19
G075.29+01.32,,20,16,16.012,+,37,35,45.81,0.108,0.01,-2.37,0.11,-4.48,0.17,-58,5,Out,"22         ",304.0667166630427,37.5960583337148,37
G012.02-00.03,,18,12,1.84,-,18,31,55.8,0.106,0.008,-4.11,0.11,-7.76,0.28,108,5,3kN,"7          ",273.0076666668058,-18.53216666645474,-18
G048.60+00.02,,19,20,31.176,+,13,55,25.21,0.093,0.005,-2.89,0.13,-5.5,0.13,18,5,Per,"15         ",290.12990000247953,13.923669444190134,13
G043.16+00.01,"W49N           ",19,10,13.41,+,9,6,12.8,0.09,0.007,-2.88,0.2,-5.41,0.2,10,5,Per,"15         ",287.5558749993642,9.103555555608537,9
