recno,Name,OName,RAJ2000,DEJ2000,plx,e_plx,pmX,e_pmX,pmY,e_pmY,VLSR,e_VLSR,Arm,Ref,SimbadName,dec,ra
87,G033.64-00.22,,18 53 32.5630,+00 31 39.100,0.131,0.02,-3.1,0.15,-6.27,0.14,60,3,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=18850131&notid=4&-out.emph=%-3s,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/ApJ/885/131/refs&Ref=%-11s,[RMB2014] G033.64-00.22,0.5275277777777778,283.3856791666667
89,G034.79-01.38,,18 59 45.9838,+01 01 18.947,0.381,0.02,-0.31,0.62,-2.8,0.72,45,5,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=18850131&notid=4&-out.emph=%-3s,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/ApJ/885/131/refs&Ref=%-11s,[RMB2014] G034.79-01.38,1.0219297222222221,284.94159916666666
90,G035.02+00.34,,18 54 00.6576,+02 01 19.217,0.43,0.04,-0.92,0.9,-3.61,0.9,52,5,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=18850131&notid=4&-out.emph=%-3s,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/ApJ/885/131/refs&Ref=%-11s,[RMB2014] G035.02+00.34,2.0220047222222224,283.50274
91,G035.19-00.74,,18 58 13.0517,+01 40 35.674,0.456,0.045,-0.18,0.5,-3.63,0.5,30,7,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=18850131&notid=4&-out.emph=%-3s,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/ApJ/885/131/refs&Ref=%-11s,[RMB2014] G035.19-00.74,1.6765761111111113,284.5543820833334
92,G035.20-01.73,,19 01 45.5420,+01 13 32.690,0.412,0.014,-0.68,0.44,-3.6,0.44,43,5,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=18850131&notid=4&-out.emph=%-3s,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/ApJ/885/131/refs&Ref=%-11s,[RMB2014] G035.20-01.73,1.225747222222222,285.4397583333333
93,G035.79-00.17,,18 57 16.8905,+02 27 58.007,0.113,0.013,-2.96,0.12,-6.23,0.14,61,5,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=18850131&notid=4&-out.emph=%-3s,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/ApJ/885/131/refs&Ref=%-11s,[RMB2014] G035.79-00.17,2.4661130555555557,284.32037708333337
95,G037.42+01.51,,18 54 14.3481,+04 41 39.647,0.532,0.021,-0.45,0.35,-3.69,0.39,41,3,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=18850131&notid=4&-out.emph=%-3s,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/ApJ/885/131/refs&Ref=%-11s,[RMB2014] G037.42+01.51,4.6943463888888886,283.55978375000007
98,G038.11-00.22,,19 01 44.1513,+04 30 37.400,0.242,0.035,-2.79,0.27,-5.25,0.31,76,5,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=18850131&notid=4&-out.emph=%-3s,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/ApJ/885/131/refs&Ref=%-11s,[RMB2014] G038.11-00.22,4.510388888888889,285.43396375000003
99,G040.28-00.21,,19 05 41.2146,+06 26 12.698,0.297,0.019,-1.8,0.31,-3.82,0.33,74,5,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=18850131&notid=4&-out.emph=%-3s,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/ApJ/885/131/refs&Ref=%-11s,[RMB2014] G040.28-00.21,6.436860555555556,286.4217275
100,G040.42+00.70,,19 02 39.6192,+06 59 09.052,0.078,0.013,-2.95,0.09,-5.48,0.1,10,5,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=18850131&notid=4&-out.emph=%-3s,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/ApJ/885/131/refs&Ref=%-11s,[RMB2014] G040.42+00.70,6.985847777777778,285.66508000000005
